timestamp,turn,kn0,kn1,kn2,kn3,kn4,kn5,kn6,ks0,ks1,ks2,ks3,ks4,ks5,ks6
0,0.0,3.209412e-317,-9.73740562e-315,-2.55422662405e-312,3.86319862965215e-310,1.4002236411601484e-307,-1.0143151529446547e-305,-4.706060925786391e-303,3.209412e-317,-9.73740562e-315,-2.55422662405e-312,3.86319862965215e-310,1.4002236411601484e-307,-1.0143151529446547e-305,-4.706060925786391e-303
1,0.11245,1.9356561123721652e-10,2.8523612670191894e-05,-2.9918134210379135e-05,0.0023611624779090916,0.351703746022018,-127.49849803415123,1656.0609136831304,-1.922033161073133e-10,2.5195271767875963e-09,-1.3775541408457948e-05,-5.511209799484873,0.9268164317607659,-149.12524572808178,-39016.567672104415
2,0.2249,4.0231725868362985e-10,5.7089190975048934e-05,-5.968017008121164e-05,0.004715716402587541,0.7021100126759424,-252.93057078764204,3264.2461369287266,-1.0837314641746867e-09,-2.655877055853774e-09,1.4339924242175702e-05,-10.987451320721496,-0.4597323653971891,-333.82548372523513,0.26081928473329175
3,0.33735,6.678374318273123e-10,8.721835550862584e-05,-9.819736705139359e-05,0.0077672261435231095,1.1566963384970546,-409.9525332027266,5291.847842886472,-7.337436252756363e-10,-9.599419744385657e-09,-4.520555021466014e-05,-18.072643682015798,3.0416052276837426,-576.2096013508168,-128019.34461190681
4,0.4498,9.981043540118767e-10,0.00011891939477330127,-0.00014542100693140436,0.011512999911882914,1.7153950893537881,-598.1899213885047,7708.664566730623,-2.6947158601408798e-09,-2.148035442178939e-08,3.490605681031831e-05,-26.753684614797407,-1.1188688489334604,-889.9131106989803,0.38224231699481714
5,0.5622499999999999,1.3352050411386925e-09,0.00015065296105139594,-0.00019246390123175663,0.015248819991568833,2.272256530324958,-784.9471248598251,10091.522661059593,-1.5225174068839644e-09,-4.0736549953053574e-08,-8.852769688502099e-05,-35.398038537155884,5.95719269680785,-1240.8706549339906,-250726.29351488577
6,0.6747,1.7385933148950482e-09,0.00018364203092985232,-0.00024969346145026276,0.019795580567199954,2.9518369826074475,-1007.7738416853506,12891.159408348876,-4.708207839478675e-09,-6.665751999038888e-08,5.989483002480516e-05,-45.90843819645683,-1.919660130840338,-1684.784038110554,1.0131358552532523
7,0.78715,2.146267351978983e-09,0.0002166626222387272,-0.0003067355128430986,0.024333248977136467,3.6283325788210807,-1229.4624493319918,15711.788220572329,-5.821078726559358e-09,-9.917164466419166e-08,7.358193086824796e-05,-56.3865112712798,-2.358122942365886,-2162.040738212724,1.658079179983404
8,0.8996,2.5751192656074645e-09,0.00024993347364806525,-0.00036672455134406835,0.02910229683774016,4.34237844790684,-1461.0909266594215,18559.682084423825,-6.9880802004713624e-09,-1.3634524036453997e-07,8.79310451567898e-05,-67.39577113220733,-2.81816324371161,-2681.685429463587,0.40071355002005393
9,1.01205,3.0253199579832554e-09,0.00028345556725883393,-0.00042956513926114924,0.03410507864217504,5.08865900687817,-1702.755231694365,21614.164098045487,-8.215105636622724e-09,-1.7848241134912544e-07,0.00010300173642728012,-78.93614667947416,-3.301015561410715,-3244.199724067562,1.0
10,1.1244999999999998,3.4781903919368606e-09,0.00031700382983382996,-0.0004923130742316941,0.039101182984190665,5.834030605484899,-1943.7702084664088,24651.993953963894,-9.44835384239451e-09,-2.2412049270787807e-07,0.00011802336015641704,-90.45779488232016,-3.7825210853059494,-3825.9032338762568,0.6200353026467682
